,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
EVI2B,1.01E-41,0.722382159,0.282,0.23,3.38E-37,0,EVI2B
C12orf57,4.60E-40,0.624420718,0.413,0.389,1.54E-35,0,C12orf57
SLC9A3R1,8.49E-40,0.861154052,0.292,0.25,2.85E-35,0,SLC9A3R1
SP100,1.44E-39,0.741262542,0.366,0.34,4.82E-35,0,SP100
GNAI2,1.54E-39,0.434938214,0.464,0.43,5.16E-35,0,GNAI2
TOMM7,1.90E-38,0.282213648,0.704,0.736,6.38E-34,0,TOMM7
ELF1,3.66E-38,0.781875546,0.347,0.323,1.23E-33,0,ELF1
CFLAR,1.17E-36,0.556253879,0.451,0.443,3.93E-32,0,CFLAR
TLN1,1.79E-36,0.664364999,0.363,0.336,6.01E-32,0,TLN1
OST4,4.38E-36,0.287631595,0.627,0.647,1.47E-31,0,OST4
TMEM50A,5.77E-36,0.59941673,0.434,0.437,1.94E-31,0,TMEM50A
PPIB,1.91E-35,0.427622112,0.52,0.527,6.40E-31,0,PPIB
DDX6,7.62E-35,0.784292511,0.352,0.334,2.56E-30,0,DDX6
RPS6KA3,5.09E-34,0.887815881,0.288,0.256,1.71E-29,0,RPS6KA3
MLLT6,5.35E-34,0.926025641,0.262,0.224,1.79E-29,0,MLLT6
CDK13,5.80E-34,0.929632844,0.29,0.26,1.94E-29,0,CDK13
MIER1,1.08E-33,0.916412889,0.273,0.238,3.63E-29,0,MIER1
DNAJB14,1.75E-33,0.931496447,0.29,0.261,5.87E-29,0,DNAJB14
MYCBP2,2.79E-33,0.727695178,0.364,0.345,9.37E-29,0,MYCBP2
ATP6V0E1,1.75E-32,0.29652177,0.609,0.632,5.86E-28,0,ATP6V0E1
ISG15,4.08E-32,0.408858433,0.256,0.208,1.37E-27,0,ISG15
HP1BP3,8.49E-32,0.713734519,0.358,0.343,2.85E-27,0,HP1BP3
POLR2J3.#~2,1.31E-31,0.756094759,0.37,0.363,4.38E-27,0,POLR2J3.#~2
REX1BD,2.00E-31,0.740484237,0.338,0.319,6.71E-27,0,REX1BD
MXD4,3.94E-31,0.854571968,0.281,0.25,1.32E-26,0,MXD4
9-Sep,3.19E-30,0.698360449,0.362,0.35,1.07E-25,0,9-Sep
RBMS1,3.91E-30,0.843764449,0.278,0.246,1.31E-25,0,RBMS1
WNK1,5.00E-30,0.765874236,0.339,0.323,1.68E-25,0,WNK1
YWHAB,1.41E-29,0.277497378,0.641,0.663,4.73E-25,0,YWHAB
MCL1,7.77E-29,0.503278954,0.429,0.422,2.61E-24,0,MCL1
OGA,1.22E-28,0.811777813,0.317,0.298,4.08E-24,0,OGA
SH3KBP1,1.83E-28,0.87676347,0.264,0.234,6.15E-24,0,SH3KBP1
SSBP4,6.23E-28,0.774955793,0.263,0.23,2.09E-23,0,SSBP4
TAF7,1.57E-27,0.721725047,0.34,0.328,5.28E-23,0,TAF7
RGS10,3.81E-27,0.266780505,0.361,0.311,1.28E-22,0,RGS10
ROCK1,5.84E-27,0.638642248,0.394,0.394,1.96E-22,0,ROCK1
MED10,9.55E-27,0.822308227,0.273,0.248,3.20E-22,0,MED10
ZBTB7A,6.27E-26,0.876532402,0.296,0.279,2.10E-21,0,ZBTB7A
PPP1R2,2.60E-25,0.73487538,0.324,0.31,8.70E-21,0,PPP1R2
ANKRD11,2.98E-25,0.62618776,0.404,0.411,9.98E-21,0,ANKRD11
DDIT4,3.83E-25,0.35337773,0.418,0.386,1.28E-20,0,DDIT4
TRIR,7.77E-25,0.466403747,0.462,0.486,2.61E-20,0,TRIR
SPCS2,3.64E-24,0.394061204,0.502,0.533,1.22E-19,0,SPCS2
